(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,cperezl,labeled_at,nicoluarte,labeled_at,general notes (cperezl),population notes (cperezl),intervention/comparator notes (cperezl),outcome notes (cperezl),general notes (nicoluarte),population notes (nicoluarte),intervention/comparator notes (nicoluarte),outcome notes (nicoluarte)
27630455,15742195,15742195,"*Activity Cycles,*Adaptation, Physiological,Animals,Basal Metabolism,Behavior, Animal,Body Weight,*Desert Climate,Female,Food Deprivation/*physiology,Male,Motor Activity,Muridae/*physiology","The golden spiny mouse (Acomys russatus) is an omnivorous desert rodent that does not store food, but can store large amounts of body fat. Thus, it provides a good animal model to study physiological and behavioural adaptations to changes in food availability. The aim of this study was to investigate the time course of metabolic and behavioural responses to prolonged food restriction. Spiny mice were kept at an ambient temperature of 27 degrees C and for 3 weeks their food was reduced individually to 30% of their previous ad libitum food intake. When fed ad libitum, their average metabolic rate was 82.77+/-3.72 ml O(2) h(-1) during the photophase and 111.19+/-4.30 ml O(2) h(-1) during the scotophase. During food restriction they displayed episodes of daily torpor when the minimal metabolic rate gradually decreased to 16.07+/-1.07 ml O(2) h(-1), i.e. a metabolic rate depression of approximately 83%. During the hypometabolic bouts the minimum average body temperature T(b), decreased gradually from 32.6+/-0.1 degrees C to 29.0+/-0.4 degrees C, with increasing duration of consecutive bouts. In parallel, the animals increased their activity during the remaining daytime. Torpor as well as hyperactivity was suppressed immediately by refeeding. Thus golden spiny mice used two simultaneous strategies to adapt to shortened food supply, namely energysaving torpor during their resting period and an increase in locomotor activity pattern during their activity period.","Adaptive mechanisms during food restriction in Acomys russatus: the use of torpor for desert survival.","Journal of comparative physiology. B, Biochemical, systemic, and environmental physiology","Ehrhardt N and Heldmaier G and Exner C","no comparison between intermittent or continuous  food access groups,no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-24 19:28:55,-1,2021-02-27 14:32:30,,,,,,,,
27630456,25484353,25484353,"Animals,Body Composition/drug effects,Body Weight/drug effects,Brain/anatomy & histology/metabolism,Cholecystokinin/blood,*Diet, High-Fat,Drinking Behavior/drug effects,Eating/drug effects,Energy Intake/*drug effects,Feeding Behavior/*drug effects,Food Deprivation,Gene Expression Regulation/*drug effects,Ghrelin/blood,Leptin/blood,Male,Mice,Mice, Inbred C57BL,Peptide YY/blood,Sucrose/*administration & dosage,Sweetening Agents/*administration & dosage,Time Factors","Intake of sodas has been shown to increase energy intake and to contribute to obesity in humans and in animal models, although the magnitude and importance of these effects are still debated. Moreover, intake of sugar sweetened beverages is often associated with high-fat food consumption in humans. We studied two different accesses to a sucrose-sweetened water (SSW, 12.3%, a concentration similar to that usually found in sugar sweetened beverages) in C57BL/6 mice fed a normal-fat (NF) or a high-fat (HF) diet in a scheduled access (7.5h). NF-fed and HF-fed mice received during 5weeks access to water, to SSW continuously for 7.5h (SSW), or to water plus SSW for 2h (randomly-chosen time slot for only 5 random days/week) (SSW-2h). Mouse preference for SSW was greater in HF-fed mice than NF-fed mice. Continuous SSW access induced weight gain whatever the diet and led to greater caloric intake than mice drinking water in NF-fed mice and in the first three weeks in HF-fed mice. In HF-fed mice, 2h-intermittent access to SSW induced a greater body weight gain than mice drinking water, and led to hyperphagia on the HF diet when SSW was accessible compared to days without SSW 2h-access (leading to greater overall caloric intake), possibly through inactivation of the anorexigenic neuropeptide POMC in the hypothalamus. This was not observed in NF-fed mice, but 2h-intermittent access to SSW stimulated the expression of dopamine, opioid and endocannabinoid receptors in the nucleus accumbens compared to water-access. In conclusion, in mice, a sucrose solution provided 2h-intermittently and a high-fat diet have combined effects on peripheral and central homeostatic systems involved in food intake regulation, a finding which has significant implications for human obesity.","Intermittent access to liquid sucrose differentially modulates energy intake and related central pathways in control or high-fat fed mice.","Physiology & behavior","Soto M and Chaumontet C and Even PC and Nadkarni N and Piedcoq J and Darcel N and Tome D and Fromentin G","no comparison between intermittent or continuous  food access groups",1,2021-03-17 00:23:22,1,2021-02-22 19:39:07,-1,2021-02-25 13:50:04,,,,,,,,
27630457,26002280,26002280,"Animals,Appetite/*physiology,*Cues,Diet, Reducing/*adverse effects,Feeding Behavior/*physiology,Food Deprivation/*physiology,Hippocampus/physiology,Male,Mental Processes/physiology,Rats,Rats, Sprague-Dawley,Weight Gain/physiology","In western and westernized societies, large portions of the population live in what are considered to be 'obesogenic' environments. Among other things, obesogenic environments are characterized by a high prevalence of external cues that are associated with highly palatable, energy-dense foods. One prominent hypothesis suggests that these external cues become such powerful conditioned elicitors of appetitive and eating behavior that they overwhelm the internal, physiological mechanisms that serve to maintain energy balance. The present research investigated a learning mechanism that may underlie this loss of internal relative to external control. In Experiment 1, rats were provided with both auditory cues (external stimuli) and varying levels of food deprivation (internal stimuli) that they could use to solve a simple discrimination task. Despite having access to clearly discriminable external cues, we found that the deprivation cues gained substantial discriminative control over conditioned responding. Experiment 2 found that, compared to standard chow, maintenance on a 'western-style' diet high in saturated fat and sugar weakened discriminative control by food deprivation cues, but did not impair learning when external cues were also trained as relevant discriminative signals for sucrose. Thus, eating a western-style diet contributed to a loss of internal control over appetitive behavior relative to external cues. We discuss how this relative loss of control by food deprivation signals may result from interference with hippocampal-dependent learning and memory processes, forming the basis of a vicious-cycle of excessive intake, body weight gain, and progressive cognitive decline that may begin very early in life.","Western-style diet impairs stimulus control by food deprivation state cues: Implications for obesogenic environments.","Appetite","Sample CH and Martin AA and Jones S and Hargrave SL and Davidson TL","no comparison between intermittent or continuous  food access groups,no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-23 23:17:52,-1,2021-02-25 13:51:02,,,,,,,,
27630458,7200616,7200616,"Animals,Blood Glucose/*metabolism,*Circadian Rhythm,*Eating,Female,*Food Deprivation,Hypothalamus/*physiology,Hypothalamus, Middle/*physiology,Rats,Rats, Inbred Strains","Ad lib feeding responses were studied in VMH lesioned rats, following 2 to 6 hours of food deprivation during the dark and the light phases of the diurnal cycle. The correlation between glucose level at the time of restoration of food and these feeding responses was examined. At night, VMH as well as intact rats increased their food intake significantly following 2 to 6 hours of food deprivation. In both groups, the responses were correlated with a decrease in blood glucose which was dependent on the duration of previous food deprivation. During the day, in normal rats, food deprivation did not induce a change either in subsequent food intake or in blood glucose level. On the contrary, VMH lesioned rats increased their food intake following diurnal food deprivation as they did at night. But, surprisingly, this increase was not associated with a fall of blood glucose.","Effects of short-term nocturnal and diurnal food deprivation on subsequent feeding in intact and VMH lesioned rats: relation to blood glucose level.","Physiology & behavior","Larue-Achagiotis C and Le Magnen J","no comparison between intermittent or continuous  food access groups,no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-26 14:53:08,-1,2021-02-27 14:33:07,,,,,,,,
27630459,2087509,2087509,"Animals,Brain Mapping,Circadian Rhythm/*physiology,Energy Metabolism/physiology,Feeding Behavior/*physiology,Hunger/*physiology,Insulin/*physiology,Male,Rats,Rats, Inbred Strains,Suprachiasmatic Nucleus/*physiology","Short-term (1-h, 4-h and 12-h) and long-term (24-h) feeding responses to 24-h food deprivation (FD) or insulin treatment (IT) (8 mU/kg IP) were studied in male rats under a 12/12-h light/dark (L/D) cycle. The 24-h FD or the IT began either at onset (Dawn) or offset (Dusk) of the lights. In sham-operated rats (Shams) both protocols elicited greater short-term feeding responses at Dusk (p less than 0.05 or less). In suprachiasmatic nuclei (SCN)-lesioned rats the L/D variations in short-term responses were absent. In both SCN and Shams the 24-h feeding responses did not depend on stimuli time-schedule. We conclude that the regulation of short-term (circadian), but not long-term, feeding responses to metabolic stimuli is dependent on SCN integrity in the rat.","Suprachiasmatic nuclei lesions eliminate light/dark variations in short-term feeding responses to deprivation or insulin treatment in rats.","Physiology & behavior","Stoynev AG and Ikonomov OC and Damova IA and Penev PD and Usunoff KG and Paloff AM","no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-23 23:04:11,-1,2021-02-25 13:51:29,,,,,,,,
27630460,19781771,19781771,"Animals,Behavior, Animal/physiology,Circadian Rhythm/*physiology,Drinking/*physiology,Eating/*physiology,Energy Metabolism/physiology,Exploratory Behavior/*physiology,Female,Locomotion/*physiology,Mice,Mice, Inbred C57BL,Mice, Knockout,Receptors, Neuropeptide Y/genetics/*metabolism","Members of the neuropeptide-Y (NPY) family acting via Y2 and/or Y4 receptors have been proposed to participate in the control of ingestive behaviour and energy homeostasis. Since these processes vary between day and night, we explored the circadian patterns of locomotor, exploratory and ingestive behaviour in mice with disrupted genes for Y2 (Y2-/-) or Y4 (Y4-/-) receptors. To this end, the LabMaster system was used and its utility for the analysis of changes in circadian activity and ingestion caused by gene knockout evaluated. Female animals, aged 27weeks on average, were housed singly in cages fitted with sensors for water and food intake and two infrared frames for recording ambulation and rearing under a 12h light/dark cycle for 4days. Relative to WT animals, diurnal locomotion, exploration, drinking and feeding were reduced, whereas nocturnal locomotion was enhanced in Y2-/- mice. In contrast, Y4-/- mice moved more but ate and drank less during the photophase, while they ate more and explored less during the scotophase. Both Y2-/- and Y4-/- mice weighed more than WT mice. These findings attest to a differential role of Y2 and Y4 receptor signalling in the circadian control of behaviours that balance energy intake and energy expenditure. These phenotypic traits can be sensitively and continuously recorded by the LabMaster system.","Evidence from knockout mice for distinct implications of neuropeptide-Y Y2 and Y4 receptors in the circadian control of locomotion, exploration, water and food intake.","Neuropeptides","Edelsbrunner ME and Painsipp E and Herzog H and Holzer P","no comparison between intermittent or continuous  food access groups,no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-26 14:52:51,-1,2021-02-27 14:33:52,,,,,,,,
27630461,32150421,32150421,"","Binge eating behavior (BEB) is the most common condition among eating disorders. In animal models, binge eating behavior is defined as overconsumption in a brief time interval and it develops as a progressive increase in food intake along time. It is triggered by restricting food access to regular chow or to palatable food and is associated with dopamine release from the ventral tegmental area to the nucleus accumbens. The dopamine system, exhibits day-night patterns, suggesting regulation by the circadian system. This study explored in rats the differential contribution of restricted food access to chow and sucrose for developing BEB, it explored whether BEB exhibits a day-night pattern, and whether behavioral changes are associated with the number of tyrosine hydroxylase (TH) positive cells in the ventral tegmental area, with the expression of dopamine 1 receptors (D1) and glutamate receptor subunit 1 receptors (GLUR1) in the nucleus accumbens. Present data indicate that under conditions of restricted access binge eating is developed for chow or sucrose. Both types of binge eating were independent of each other and exhibited a day-night pattern with increased intensity during the active phase (night). Binge eating was preceded by anticipatory activation, except when restricted food access was given during the day. Increased optical density for D1 receptors was found after exposure to the combination of restricted food access and sucrose. No association was observed between binge eating and the number of positive cells to TH in the ventral tegmental area, nor for GLUR1 in the nucleus accumbens. Present results point out the importance of time schedules to eat, highlighting an increased vulnerability to develop binge eating during the active phase. (PsycInfo Database Record (c) 2020 APA, all rights reserved).","Binge eating for sucrose is time of day dependent and independent of food restriction: Effects on mesolimbic structures.","Behavioral neuroscience","Osnaya-Ramirez RI and Palma-Gomez M and Escobar C","no comparison between intermittent or continuous  food access groups,no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-22 19:00:54,-1,2021-02-25 13:52:23,,,,,,,,
27630462,30249177,30249177,"Animals,Antioxidants/metabolism,Brain/*metabolism,Castration,Disease Models, Animal,Eating/physiology,Feeding Behavior/*physiology/psychology,Food Deprivation/*physiology,Glutathione/metabolism,Hoarding/*metabolism,Lipid Peroxidation/physiology,Male,Malondialdehyde/metabolism,Mice,Oxidative Stress/*physiology,Random Allocation,Spinal Cord/*metabolism,Superoxide Dismutase/metabolism,Uncertainty","BACKGROUND: Environmental uncertainty, such as food deprivation, may alter internal milieu of nervous system through various mechanisms. In combination with circumstances of stress or aging, high consumption of unsaturated fatty acids and oxygen can make neural tissues sensitive to oxidative stress (OS). For adult rats, diminished level of gonadal steroid hormones accelerates OS and may result in special behavioral manifestations. This study was aimed to partially answer the question whether OS mediates trade-off between food hoarding and food intake (fat hoarding) in environmental uncertainty (e.g., fluctuations in food resource) within gonadectomized mouse model in the presence of food deprivation-induced food hoarding behavior. RESULTS: Hoarding behavior was not uniformly expressed in all male mice that exposed to food deprivation. Extended phenotypes including hoarder and non-hoarder mice stored higher and lower amounts of food respectively as compared to that of low-hoarder mice (normal phenotype) after food deprivation. Results showed that neural oxidative status was not changed in the presence of hoarding behavior in gonadectomized mice regardless of tissue type, however, glutathione levels of brain tissues were increased in the presence of hoarding behavior. Decreased superoxide dismutase activity in brain and spinal cord tissues and increased malondialdehyde in brain tissues of gonadectomized mice were also seen. CONCLUSIONS: Although, food deprivation-induced hoarding behavior is a strategic response to food shortage in mice, it did not induce the same amount of hoarding across all colony mates. Hoarding behavior, in this case, is a response to the environmental uncertainty of food shortage, therefore is not an abnormal behavior. Hoarding behavior induced neural OS with regard to an increase in brain glutathione levels but failed to show other markers of neural OS. Decreased superoxide dismutase activity in brain and spinal cord tissues and increased malondialdehyde levels in brain tissues of gonadectomized mice could be a hallmark of debilitated antioxidative defense and more lipid peroxidation due to reduced amount of gonadal steroid hormones during aging.","An effort toward molecular biology of food deprivation induced food hoarding in gonadectomized NMRI mouse model: focus on neural oxidative status.","BMC neuroscience","Nikray N and Karimi I and Siavashhaghighi Z and Becker LA and Mofatteh MM","no comparison between intermittent or continuous  food access groups",1,2021-03-17 00:24:38,1,2021-02-24 19:27:56,-1,2021-02-27 14:36:08,,,,,,,,
27630463,1484863,1484863,"Animals,*Circadian Rhythm,*Conditioning, Operant,*Eating,*Energy Metabolism,Male,Motivation,*Motor Activity,Rats,Rats, Sprague-Dawley","The effects of wheel running on the food intake of rats, and on the extent to which rats defend their daily food intake against increases in the instrumental cost of food, were studied in a closed economy. Rats lived in cages that were attached to running wheels. Within each cage, water was freely available and lever pressing was required for access to food; a fixed number of presses was required for the delivery of a single food pellet. All cages were located in an environmental chamber where a 12-h light/dark cycle was continuously maintained. During stage I, the entrance to each running wheel was blocked and two series (series 1 and 2) of progressively increasing fixed ratios (FRs) of presses per pellet were imposed. Each FR was used for a single day. During stage II, the entrance to each wheel was unblocked and wheel running and food intake were allowed to stabilize. During stage III, the running wheels remained available and the FR was again increased (series 3). In stage I, increases in the FR reduced food intake proportionally more rapidly during the light than during the dark, and this reduction in the light was greater during series 1 than series 2. During stage II, food intake was transiently reduced during the first week of access to running wheels, but recovered by the end of the second week. During stage III, increases in the FR again reduced food intake proportionally more rapidly during the light than during the dark. Wheel running did not affect the extent to which food intake was reduced within light and dark periods.(ABSTRACT TRUNCATED AT 250 WORDS)","The effects of wheel running, a light/dark cycle, and the instrumental cost of food on the intake of food in a closed economy.","Physiology & behavior","Bauman RA","no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-23 23:22:05,-1,2021-02-25 13:58:08,,,,,,,,
27630464,7432721,7432721,"Animals,*Body Weight,Darkness,Drinking Behavior/*physiology,Feeding Behavior/*physiology,Food Deprivation/*physiology,Light,Male,Motor Activity/*physiology,Rats,Time Factors,Water Deprivation/*physiology","Groups of male rats totally food deprived for periods up to 96 hr, water ad lib do not totally regain body weight lost through deprivation. Degree of body weight defence was estimated by fitting statistically a curve to the predeprivation baseline data and extrapolating the curve over the deprivation and postdeprivation period. From group data, body weight is not fully defended. However, marked individual differences in degree of body weight defence were noted. During food deprivation the daily drinking cycle persists for approximately 48 hr, then a reduction in nocturnal drinking appears. General activity increases but only in the light period. After food restitution, the main hyperphagia is confined to the first post-deprivation day. Additional, subtle long term effects of overeating in the light period are also found. In contrast to food deprived groups, water deprived groups accurately defend body weight. During water deprivation daily food intakes decrease immediately whereas nocturnal activity decreases after approximately 72 hr of deprivation has elapsed. After the termination of water deprivation the immediate response is gross hyperdipsia, but again subtle long term effects are apparent. Total daily food intake increases for many days but the increase is not confined to either light or dark periods. Water intake is similarly affected. These results are evaluated in relation to the notion of a body weight set-point regulating feeding behavior. Some limitations on the value of the findings in terms of species differences and lack of ecological validity are also discussed.","Food and water deprivation: changes in rat feeding, drinking, activity and body weight.","Neuroscience and biobehavioral reviews","Armstrong S and Coleman G and Singer G","no comparison between intermittent or continuous  food access groups,no comparison between intermittent or continuous  food access groups",-1,,-1,2021-02-22 23:14:07,-1,2021-02-25 14:00:42,,,,,,,,
