"","Subject","Age","Gender","STAIT","Condition","EV","AltEV","Risk","AltRisk","Actual","Counterfactual","Satisfaction","ReactionTime","Trial","TrialTot"
"1",1,32,"male",51,"single","low","high","high","low",40,20,6.49160393754689,5.40687378199982,1,1
"2",1,32,"male",51,"single","high","high","high","low",40,20,6.80886277659994,5.11726522000026,2,2
"3",1,32,"male",51,"single","low","high","low","high",0,40,-6.10113152025084,9.0877485179999,3,3
"4",1,32,"male",51,"single","high","low","low","high",20,0,6.46719941146589,10.7498075180001,4,4
"5",1,32,"male",51,"single","low","high","high","high",40,40,6.71124467227593,6.49295084099958,5,5
"6",1,32,"male",51,"single","low","low","low","high",20,40,7.00409898524797,9.98297311600072,6,6
"7",1,32,"male",51,"single","high","low","high","high",40,40,6.66243562011392,8.13473216999955,7,7
"8",1,32,"male",51,"single","high","low","low","low",20,20,6.36958130714188,10.7295522180002,8,8
"9",1,32,"male",51,"single","high","low","low","low",40,20,1.09820367364515,12.0518944300002,9,9
"10",1,32,"male",51,"single","low","high","high","high",40,40,3.68508343823151,8.39596101699954,10,10
"11",1,32,"male",51,"single","low","high","low","high",40,0,0.878562938916121,5.36592480600029,11,11
"12",1,32,"male",51,"single","low","low","high","low",40,20,6.88207635484295,8.72557697299999,12,12
"13",1,32,"male",51,"single","low","high","low","high",20,0,5.0517368987677,5.56502981199992,13,13
"14",1,32,"male",51,"single","low","low","low","high",20,0,6.46719941146589,6.94063120099963,14,14
"15",1,32,"male",51,"single","high","low","high","high",0,40,-7.05290803740997,5.88175480300015,15,15
"16",1,32,"male",51,"single","high","low","low","low",40,20,3.09937481228743,4.34872710599939,16,16
"17",1,32,"male",51,"single","high","low","low","high",20,40,6.49160393754689,11.2395250169993,17,17
"18",1,32,"male",51,"single","high","high","low","high",20,0,6.5160084636279,4.18731875899994,18,18
"19",1,32,"male",51,"single","high","high","low","high",20,40,3.02616123404442,4.34578099800001,19,19
"20",1,32,"male",51,"single","low","low","high","low",40,20,6.24755867673686,6.11278599099933,20,20
"21",1,32,"male",51,"single","high","low","high","low",0,20,-6.5404129897089,7.30857671299964,21,21
"22",1,32,"male",51,"single","high","low","low","low",20,20,2.1475982951283,3.61902904700037,22,22
"23",1,32,"male",51,"single","high","low","low","high",20,40,1.39105798661719,4.44569240700002,23,23
"24",1,32,"male",51,"single","high","high","low","high",20,0,1.48867609094121,3.60758630100008,24,24
"25",1,32,"male",51,"double","low","high","low","low",20,40,5.73506362903579,5.51694405800026,1,25
"26",1,32,"male",51,"double","high","low","low","high",20,20,6.05232246808883,5.49402128400015,2,26
"27",1,32,"male",51,"double","high","low","low","high",20,40,5.1005459509297,5.62981424900045,3,27
"28",1,32,"male",51,"double","high","low","high","high",40,40,6.34517678106088,4.99268974000006,4,28
"29",1,32,"male",51,"double","high","high","high","low",40,20,6.83326730268094,3.06979813199996,5,29
"30",1,32,"male",51,"double","low","high","low","high",20,0,6.71124467227593,5.46462144699944,6,30
"31",1,32,"male",51,"double","low","high","low","high",40,0,3.44103817742147,3.53087279400006,7,31
"32",1,32,"male",51,"double","high","low","low","low",20,0,4.46602827282362,4.67679911800042,8,32
"33",1,32,"male",51,"double","high","high","high","low",0,0,-5.66185005079278,5.29292689700014,9,33
"34",1,32,"male",51,"double","high","low","low","high",20,0,1.78153040391325,4.05770334800036,10,34
"35",1,32,"male",51,"double","low","high","high","high",20,40,0.756540308511104,4.80086408900024,11,35
"36",1,32,"male",51,"double","low","high","high","high",40,40,3.6118698599885,3.33002543100065,12,36
"37",1,32,"male",51,"double","high","low","low","high",20,40,3.51425175566448,3.52803534599934,13,37
"38",1,32,"male",51,"double","high","high","low","high",20,0,4.56364637714763,2.31837286500013,14,38
"39",1,32,"male",51,"double","high","low","high","high",40,0,5.24697310741572,3.16080925799997,15,39
"40",1,32,"male",51,"double","low","low","low","high",20,0,3.22139744269244,3.60150089000035,16,40
"41",1,32,"male",51,"double","low","low","low","high",0,40,3.85591512079853,3.0835737489997,17,41
"42",1,32,"male",51,"double","low","low","low","high",0,0,1.51308061702221,2.24533244800023,18,42
"43",1,32,"male",51,"double","low","high","low","high",20,0,5.32018668565873,2.04911571800039,19,43
"44",1,32,"male",51,"double","low","high","low","low",20,20,5.90589531160281,2.9388645580002,20,44
"45",1,32,"male",51,"double","low","low","low","high",20,0,5.0761414248487,1.91454386199985,21,45
"46",1,32,"male",51,"double","high","low","low","low",40,20,3.58746533390749,3.29026981000061,22,46
"47",1,32,"male",51,"double","high","high","high","low",40,20,5.36899573782074,2.53594258599969,23,47
"48",1,32,"male",51,"double","high","low","high","low",0,40,-5.88149078552181,3.12029263399927,24,48
"49",1,32,"male",51,"single","low","low","low","high",0,0,-5.41780478998275,2.74014481599988,1,49
"50",1,32,"male",51,"single","high","low","low","low",20,20,5.8082772072788,2.94331181100006,2,50
"51",1,32,"male",51,"single","low","high","low","high",20,40,5.95470436376482,1.52967787499983,3,51
"52",1,32,"male",51,"single","high","high","high","low",40,20,6.22315415065586,2.5423222090003,4,52
"53",1,32,"male",51,"single","high","high","high","low",40,20,6.32077225497987,1.49183447199994,5,53
"54",1,32,"male",51,"single","high","high","low","high",20,0,5.97910888984582,1.50575055700028,6,54
"55",1,32,"male",51,"single","high","low","low","low",0,20,-4.66126448147164,3.94975210899975,7,55
"56",1,32,"male",51,"single","high","low","low","high",20,40,4.73447805971465,3.35255398300069,8,56
"57",1,32,"male",51,"single","low","high","low","high",20,40,5.73506362903579,2.74026232100005,9,57
"58",1,32,"male",51,"single","low","high","high","low",40,40,6.22315415065586,4.31820097400032,10,58
"59",1,32,"male",51,"single","low","high","low","low",20,40,6.22315415065586,2.23703721999937,11,59
"60",1,32,"male",51,"single","low","high","low","high",40,0,5.71065910295479,2.08330058699994,12,60
"61",1,32,"male",51,"single","low","low","low","high",20,0,5.71065910295479,2.49709157600046,13,61
"62",1,32,"male",51,"single","high","low","high","high",0,0,-6.5648175157899,3.08315477300039,14,62
"63",1,32,"male",51,"single","high","low","high","high",40,40,5.49101836822576,2.41271919900009,15,63
"64",1,32,"male",51,"single","high","low","low","high",20,40,5.49101836822576,4.49755013599952,16,64
"65",1,32,"male",51,"single","low","high","high","low",40,40,5.97910888984582,3.42038789400067,17,65
"66",1,32,"male",51,"single","low","low","high","low",40,20,5.97910888984582,3.75646889200016,18,66
"67",1,32,"male",51,"single","low","low","low","high",0,40,-7.05290803740997,3.28490449400033,19,67
"68",1,32,"male",51,"single","high","low","low","low",20,40,5.8082772072788,4.73821623599997,20,68
"69",1,32,"male",51,"single","high","low","high","high",40,40,6.61362656795191,4.19421056200008,21,69
"70",1,32,"male",51,"single","high","low","high","high",40,0,6.41839035930388,2.72160670799985,22,70
"71",1,32,"male",51,"single","high","high","high","low",40,20,6.22315415065586,4.77023831499992,23,71
"72",1,32,"male",51,"single","low","high","low","high",20,40,6.14994057241285,3.10407136899994,24,72
"73",1,32,"male",51,"double","high","low","low","low",20,20,5.02733237268669,2.84514228100034,1,73
"74",1,32,"male",51,"double","low","low","high","low",40,20,5.0517368987677,4.27183357100057,2,74
"75",1,32,"male",51,"double","high","high","high","low",40,20,5.85708625944081,4.50427249600034,3,75
"76",1,32,"male",51,"double","high","low","high","high",40,0,6.12553604633184,3.24657716299953,4,76
"77",1,32,"male",51,"double","high","low","low","low",20,20,5.88149078552181,6.67615836599998,5,77
"78",1,32,"male",51,"double","high","high","low","high",0,0,-6.85767182876195,3.29795760699926,6,78
"79",1,32,"male",51,"double","high","low","low","low",20,0,5.53982742038776,3.72748353899988,7,79
"80",1,32,"male",51,"double","high","low","low","high",20,0,5.61304099863077,2.58434682400002,8,80
"81",1,32,"male",51,"double","low","high","low","high",20,40,5.66185005079278,2.29094449700005,9,81
"82",1,32,"male",51,"double","high","low","high","high",40,0,5.73506362903579,6.62057777999962,10,82
"83",1,32,"male",51,"double","high","low","low","low",20,20,5.0761414248487,4.41142203700019,11,83
"84",1,32,"male",51,"double","low","high","low","high",20,40,4.73447805971465,6.47603857300055,12,84
"85",1,32,"male",51,"double","high","high","low","high",20,40,4.61245542930964,6.17032216600001,13,85
"86",1,32,"male",51,"double","high","high","low","high",20,0,5.8082772072788,4.62107952600036,14,86
"87",1,32,"male",51,"double","high","low","high","high",0,20,0.14642715648602,5.83985941000083,15,87
"88",1,32,"male",51,"double","low","low","low","high",20,40,3.6362743860695,0.000127569000142103,16,88
"89",1,32,"male",51,"double","high","low","low","high",40,40,3.36782459917846,4.27140876599969,17,89
"90",1,32,"male",51,"double","low","high","low","high",20,40,4.3440056424186,3.51649982300023,18,90
"91",1,32,"male",51,"double","low","high","high","low",40,40,5.97910888984582,6.9412783860007,19,91
"92",1,32,"male",51,"double","low","low","low","high",20,0,5.8082772072788,5.6776077200002,20,92
"93",1,32,"male",51,"double","high","low","low","high",20,40,2.51366618634335,5.28302428400002,21,93
"94",1,32,"male",51,"double","low","low","low","high",20,0,5.90589531160281,9.52145639799983,22,94
"95",1,32,"male",51,"double","high","low","high","low",0,20,-4.85650069011967,5.98855492099938,23,95
"96",1,32,"male",51,"double","low","high","high","high",40,0,5.68625457687378,1.7215337560001,24,96
"97",2,20,"male",27,"double","low","high","high","low",0,20,-7.54099855903004,3.72246953100057,1,1
"98",2,20,"male",27,"double","high","high","low","high",20,0,1.78153040391325,2.79803366299984,2,2
"99",2,20,"male",27,"double","low","high","low","high",0,0,-7.49218950686803,3.31703809300052,3,3
"100",2,20,"male",27,"double","high","low","low","high",40,0,6.39398583322288,2.26435579699955,4,4
"101",2,20,"male",27,"double","high","low","high","high",0,0,-7.51659403294904,2.61256107200006,5,5
"102",2,20,"male",27,"double","low","low","high","low",40,20,6.34517678106088,2.41485806000037,6,6
"103",2,20,"male",27,"double","low","high","high","high",0,40,-7.32135782430101,2.0688568860005,7,7
