0;Undefined;1;Resting;2;Walking;3;Moving Exploration;4;Local Exploration;5;Supported Rearing;6;Unsupported Rearing;7;Grooming;
Frames; Behavior 
0;3
1;3
2;3
3;3
4;3
5;3
6;3
7;3
8;3
9;3
10;3
11;3
12;3
13;3
14;3
15;3
16;3
17;3
18;3
19;3
20;3
21;3
22;3
23;3
24;3
25;3
26;3
27;3
28;3
29;3
30;3
31;3
32;4
33;4
34;4
35;4
36;4
37;4
38;4
39;4
40;4
41;4
42;4
43;4
44;4
45;4
46;4
47;4
48;4
49;4
50;4
51;4
52;4
53;4
54;4
55;4
56;4
57;4
58;4
59;4
60;4
61;4
62;4
63;4
64;4
65;3
66;3
67;3
68;3
69;3
70;3
71;3
72;3
73;3
74;3
75;3
76;3
77;3
78;3
79;3
80;3
81;3
82;3
83;3
84;3
85;3
86;3
87;3
88;3
89;3
90;3
91;3
92;3
93;3
94;3
95;4
96;4
97;4
98;4
99;4
100;4
101;4
102;4
103;4
104;4
105;4
106;4
107;4
108;4
109;4
110;4
111;4
112;4
113;4
114;4
115;4
116;4
117;4
118;4
119;4
120;4
121;4
122;4
123;4
124;4
125;4
126;4
127;4
128;4
129;4
130;4
131;4
132;4
133;4
134;4
135;3
136;3
137;3
138;3
139;3
140;3
141;3
142;3
143;3
144;3
145;3
146;3
147;3
148;3
149;3
150;3
151;3
152;3
153;3
154;3
155;3
156;3
157;3
158;4
159;4
160;4
161;4
162;4
163;4
164;4
165;4
166;4
167;4
168;4
169;4
170;4
171;4
172;4
173;4
174;4
175;4
176;4
177;4
178;3
179;3
180;3
181;3
182;3
183;3
184;3
185;3
186;3
187;3
188;3
189;3
190;3
191;3
192;3
193;3
194;3
195;3
196;3
197;3
198;3
199;3
200;3
201;3
202;3
203;3
204;3
205;3
206;3
207;3
208;3
209;3
210;3
211;3
212;3
213;3
214;3
215;3
216;3
217;3
218;3
219;3
220;3
221;3
222;3
223;3
224;3
225;3
226;3
227;3
228;3
229;3
230;3
231;3
232;3
233;3
234;3
235;3
236;3
237;3
238;3
239;3
240;3
241;3
242;3
243;3
244;3
245;3
246;3
247;3
248;3
249;3
250;3
251;3
252;3
253;3
254;3
255;3
256;3
257;3
258;3
259;3
260;3
261;3
262;3
263;3
264;3
265;3
266;3
267;3
268;3
269;3
270;3
271;3
272;3
273;3
274;3
275;3
276;3
277;3
278;3
279;3
280;3
281;3
282;3
283;3
284;3
285;3
286;3
287;3
288;3
289;3
290;3
291;3
292;3
293;3
294;3
295;3
296;3
297;3
298;3
299;3
300;3
301;3
302;3
303;3
304;3
305;3
306;3
307;3
308;3
309;3
310;3
311;3
312;3
313;3
314;3
315;3
316;3
317;3
318;3
319;3
320;3
321;3
322;3
323;3
324;3
325;3
326;3
327;3
328;3
329;3
330;3
331;3
332;3
333;3
334;3
335;3
336;3
337;3
338;3
339;3
340;3
341;3
342;3
343;3
344;3
345;3
346;3
347;3
348;3
349;3
350;3
351;3
352;3
353;3
354;3
355;3
356;3
357;3
358;3
359;3
360;3
361;3
362;3
363;3
364;3
365;3
366;3
367;3
368;7
369;7
370;7
371;7
372;7
373;7
374;7
375;7
376;7
377;7
378;7
379;7
380;7
381;7
382;7
383;7
384;7
385;7
386;7
387;7
388;7
389;7
390;7
391;7
392;7
393;7
394;7
395;7
396;7
397;7
398;7
399;7
400;7
401;7
402;7
403;7
404;7
405;7
406;7
407;7
408;7
409;7
410;7
411;7
412;7
413;7
414;7
415;7
416;7
417;7
418;7
419;7
420;7
421;7
422;7
423;7
424;7
425;7
426;7
427;7
428;7
429;7
430;7
431;7
432;7
433;7
434;7
435;7
436;7
437;7
438;7
439;7
440;7
441;7
442;7
443;7
444;7
445;7
446;7
447;7
448;7
449;7
450;7
451;7
452;7
453;7
454;7
455;7
456;7
457;7
458;7
459;7
460;7
461;7
462;7
463;7
464;7
465;7
466;7
467;7
468;7
469;7
470;7
471;7
472;7
473;7
474;7
475;7
476;7
477;7
478;7
479;7
480;7
481;7
482;7
483;7
484;7
485;7
486;7
487;7
488;7
489;7
490;7
491;7
492;7
493;7
494;7
495;7
496;7
497;7
498;7
499;7
500;4
501;4
502;4
503;4
504;4
505;4
506;4
507;4
508;4
509;4
510;4
511;4
512;4
513;4
514;4
515;4
516;4
517;3
518;3
519;3
520;3
521;6
522;6
523;6
524;6
525;6
526;6
527;6
528;6
529;6
530;6
531;7
532;7
533;7
534;7
535;7
536;7
537;7
538;7
539;7
540;7
541;7
542;7
543;7
544;7
545;7
546;7
547;7
548;7
549;7
550;7
551;7
552;7
553;7
554;7
555;7
556;7
557;7
558;7
559;7
560;7
561;7
562;7
563;7
564;7
565;7
566;7
567;7
568;7
569;7
570;7
571;7
572;7
573;7
574;7
575;7
576;7
577;7
578;7
579;7
580;7
581;7
582;7
583;7
584;7
585;7
586;7
587;7
588;7
589;7
590;7
591;7
592;7
593;7
594;7
595;7
596;7
597;7
598;7
599;7
600;7
601;7
602;7
603;7
604;7
605;7
606;7
607;7
608;7
609;7
610;7
611;7
612;7
613;7
614;7
615;7
616;7
617;7
618;7
619;7
620;7
621;7
622;7
623;7
624;4
625;4
626;4
627;6
628;6
629;6
630;6
631;6
632;2
633;2
634;2
635;2
636;2
637;2
638;2
639;2
640;2
641;2
642;2
643;2
644;4
645;4
646;4
647;4
648;4
649;4
650;4
651;4
652;4
653;4
654;4
655;4
656;4
657;4
658;4
659;4
660;4
661;4
662;4
663;5
664;5
665;5
666;5
667;5
668;5
669;5
670;5
671;5
672;5
673;5
674;5
675;5
676;5
677;5
678;2
679;2
680;2
681;2
682;2
683;2
684;2
685;2
686;2
687;2
688;2
689;4
690;4
691;4
692;4
693;4
694;4
695;4
696;4
697;4
698;4
699;4
700;4
701;3
702;3
703;3
704;3
705;3
706;3
707;3
708;3
709;4
710;4
711;4
712;4
713;4
714;4
715;4
716;4
717;4
718;4
719;4
720;4
721;4
722;4
723;4
724;4
725;4
726;4
727;4
728;4
729;4
730;4
731;4
732;4
733;4
734;4
735;4
736;4
737;4
738;4
739;4
740;4
741;4
742;4
743;4
744;4
745;4
746;4
747;4
748;4
749;4
750;4
751;4
752;4
753;4
754;4
755;4
756;4
757;4
758;3
759;3
760;3
761;3
762;3
763;3
764;3
765;3
766;3
767;3
768;3
769;3
770;3
771;3
772;3
773;3
774;3
775;3
776;3
777;3
778;3
779;3
780;3
781;3
782;3
783;3
784;3
785;3
786;4
787;4
788;4
789;4
790;4
791;4
792;4
793;4
794;4
795;3
796;3
797;3
798;3
799;3
800;3
801;3
802;3
803;3
804;3
805;3
806;3
807;3
808;3
809;3
810;3
811;3
812;3
813;3
814;3
815;3
816;3
817;3
818;3
819;3
820;3
821;3
822;3
823;3
824;3
825;3
826;3
827;3
828;3
829;3
830;3
831;3
832;3
833;3
834;3
835;3
836;3
837;3
838;3
839;3
840;3
841;3
842;3
843;3
844;3
845;3
846;3
847;3
848;3
849;3
850;3
851;3
852;2
853;2
854;2
855;2
856;2
857;2
858;2
859;2
860;2
861;2
862;2
863;2
