YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y
2020,11,20,22,42,25,208997,131,358,155,355,120,363
2020,11,20,22,42,25,232422,131,358,155,356,120,363
2020,11,20,22,42,25,261096,131,358,155,357,120,363
2020,11,20,22,42,25,301847,131,358,155,357,120,363
2020,11,20,22,42,25,334221,131,358,155,357,120,363
2020,11,20,22,42,25,363058,132,358,155,357,120,363
2020,11,20,22,42,25,406753,132,358,155,357,120,363
2020,11,20,22,42,25,437269,132,358,155,357,120,363
2020,11,20,22,42,25,468043,131,358,155,357,120,363
2020,11,20,22,42,25,496109,131,358,155,357,120,363
2020,11,20,22,42,25,536858,131,358,155,357,120,363
2020,11,20,22,42,25,567417,131,358,155,357,120,363
2020,11,20,22,42,25,597838,132,357,156,358,120,363
2020,11,20,22,42,25,630892,133,357,154,360,120,363
2020,11,20,22,42,25,678098,133,358,155,356,120,364
2020,11,20,22,42,25,708121,131,358,155,356,120,364
2020,11,20,22,42,25,738475,132,357,154,359,120,364
2020,11,20,22,42,25,779075,131,358,155,356,120,364
2020,11,20,22,42,25,810643,131,358,154,356,120,364
2020,11,20,22,42,25,840868,132,359,154,355,120,364
2020,11,20,22,42,25,871358,132,359,153,356,120,364
2020,11,20,22,42,25,911055,132,359,154,356,120,364
2020,11,20,22,42,25,941891,132,359,154,356,120,364
2020,11,20,22,42,25,972488,132,359,153,356,120,364
2020,11,20,22,42,25,997020,132,359,153,355,120,364
2020,11,20,22,42,26,35705,132,359,153,355,120,364
2020,11,20,22,42,26,68991,132,359,153,355,119,360
2020,11,20,22,42,26,99276,132,359,153,355,119,362
2020,11,20,22,42,26,140470,132,359,152,355,119,363
2020,11,20,22,42,26,170757,132,359,153,355,119,363
2020,11,20,22,42,26,199902,132,358,153,354,119,362
2020,11,20,22,42,26,238266,132,359,152,353,119,363
2020,11,20,22,42,26,278908,132,359,152,353,119,363
2020,11,20,22,42,26,308924,132,358,152,353,119,363
2020,11,20,22,42,26,338264,132,358,151,352,119,364
2020,11,20,22,42,26,370604,132,359,151,352,119,364
2020,11,20,22,42,26,409805,132,359,150,351,119,364
2020,11,20,22,42,26,440431,131,359,151,353,119,364
2020,11,20,22,42,26,471119,131,359,151,353,119,365
2020,11,20,22,42,26,510272,131,359,151,353,119,365
2020,11,20,22,42,26,533126,132,358,150,352,119,365
2020,11,20,22,42,26,573652,131,359,150,351,119,365
2020,11,20,22,42,26,602919,131,358,151,353,119,364
2020,11,20,22,42,26,643739,132,358,150,352,119,365
2020,11,20,22,42,26,675142,132,358,150,354,119,365
2020,11,20,22,42,26,705195,132,358,150,354,119,365
2020,11,20,22,42,26,746068,130,359,150,354,119,365
2020,11,20,22,42,26,776262,132,359,151,358,119,364
